date,ksrtc_total,bmtc_total,nwkrtc_total,kkrtc_total,all_total,ksrtc_women,bmtc_women,nwkrtc_women,kkrtc_women,all_women,ksrtc_value,bmtc_value,nwkrtc_value,kkrtc_value,all_value,
07/06/2024,3337800,3669066,2559126,1738140,11304132,2056683,2218465,1594235,979390,6848773,58686565,28426550,40193075,32948879,160255069,
08/06/2024,3281416,3464889,2388759,1638575,10773639,2016070,2066721,1474508,924084,6481383,60361290,26570049,37160899,31252410,155344648,
09/06/2024,3008834,2938946,2021430,1476281,9445491,1778551,1583775,1229826,814217,5406369,61504702,21198283,35094133,30813162,148610280,
10/06/2024,3597989,3783937,2544095,1783846,11709867,2143141,2169056,1546430,989410,6848037,70452298,28414096,40145353,35525012,174536759,
11/06/2024,3424873,3845415,2626415,1815411,11712114,2073734,2284699,1626399,1009501,6994333,59253465,29552174,39576717,33332521,161714877,
